公司名称,股票代码,板块,公告标题,公告时间,文件名,文件大小(MB),页码数,文件路径,下载时间,年份
长进光子,688635,沪市主板,长进光子首次公开发行股票并在科创板上市招股说明书,2026-05-22 00:00:00,长进光子_688635_2026-05-22_长进光子首次公开发行股票并在科创板上市招股说明书.pdf,6.04,343,data/scratch_results/长进光子_688635_2026-05-22_长进光子首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:54:10,2026
新睿电子,920211,新三板,招股说明书,2026-05-21 00:00:00,新睿电子_920211_2026-05-21_招股说明书.pdf,6.31,311,data/scratch_results/新睿电子_920211_2026-05-21_招股说明书.pdf,2026-05-27 22:54:11,2026
嘉德利,603435,沪市主板,嘉德利首次公开发行股票并在主板上市招股说明书,2026-05-19 00:00:00,嘉德利_603435_2026-05-19_嘉德利首次公开发行股票并在主板上市招股说明书.pdf,8.89,315,data/scratch_results/嘉德利_603435_2026-05-19_嘉德利首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:54:12,2026
惠康科技,001237,深市主板,首次公开发行股票并在主板上市招股说明书,2026-05-19 00:00:00,惠康科技_001237_2026-05-19_首次公开发行股票并在主板上市招股说明书.pdf,6.84,486,data/scratch_results/惠康科技_001237_2026-05-19_首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:54:12,2026
新天力,920218,新三板,招股说明书,2026-05-18 00:00:00,新天力_920218_2026-05-18_招股说明书.pdf,7.84,335,data/scratch_results/新天力_920218_2026-05-18_招股说明书.pdf,2026-05-27 22:54:13,2026
龙辰科技,920161,新三板,招股说明书,2026-05-14 00:00:00,龙辰科技_920161_2026-05-14_招股说明书.pdf,5.76,379,data/scratch_results/龙辰科技_920161_2026-05-14_招股说明书.pdf,2026-05-27 22:54:13,2026
天海电子,001365,深市主板,首次公开发行股票并在主板上市招股说明书,2026-05-13 00:00:00,天海电子_001365_2026-05-13_首次公开发行股票并在主板上市招股说明书.pdf,7.91,547,data/scratch_results/天海电子_001365_2026-05-13_首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:54:14,2026
朗信电气,920220,新三板,招股说明书,2026-05-11 00:00:00,朗信电气_920220_2026-05-11_招股说明书.pdf,7.82,425,data/scratch_results/朗信电气_920220_2026-05-11_招股说明书.pdf,2026-05-27 22:54:15,2026
长裕集团,603407,沪市主板,长裕集团首次公开发行股票并在主板上市招股说明书,2026-05-06 00:00:00,长裕集团_603407_2026-05-06_长裕集团首次公开发行股票并在主板上市招股说明书.pdf,8.42,469,data/scratch_results/长裕集团_603407_2026-05-06_长裕集团首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:54:16,2026
春光集团,301531,创业板,首次公开发行股票并在创业板上市招股说明书,2026-04-30 00:00:00,春光集团_301531_2026-04-30_首次公开发行股票并在创业板上市招股说明书.pdf,5.9,381,data/scratch_results/春光集团_301531_2026-04-30_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:54:16,2026
嘉晨智能,920096,新三板,招股说明书,2026-04-29 00:00:00,嘉晨智能_920096_2026-04-29_招股说明书.pdf,7.07,365,data/scratch_results/嘉晨智能_920096_2026-04-29_招股说明书.pdf,2026-05-27 22:54:17,2026
理奇智能,301599,创业板,首次公开发行股票并在创业板上市招股说明书,2026-04-24 00:00:00,理奇智能_301599_2026-04-24_首次公开发行股票并在创业板上市招股说明书.pdf,6.63,448,data/scratch_results/理奇智能_301599_2026-04-24_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:54:18,2026
锐翔智能,920178,新三板,招股说明书,2026-04-23 00:00:00,锐翔智能_920178_2026-04-23_招股说明书.pdf,5.13,349,data/scratch_results/锐翔智能_920178_2026-04-23_招股说明书.pdf,2026-05-27 22:54:18,2026
中科仪,920186,新三板,招股说明书,2026-04-22 00:00:00,中科仪_920186_2026-04-22_招股说明书.pdf,6.71,348,data/scratch_results/中科仪_920186_2026-04-22_招股说明书.pdf,2026-05-27 22:54:19,2026
振宏股份,920200,新三板,招股说明书,2026-04-20 00:00:00,振宏股份_920200_2026-04-20_招股说明书.pdf,5.2,337,data/scratch_results/振宏股份_920200_2026-04-20_招股说明书.pdf,2026-05-27 22:54:19,2026
联讯仪器,688808,沪市主板,联讯仪器首次公开发行股票并在科创板上市招股说明书,2026-04-20 00:00:00,联讯仪器_688808_2026-04-20_联讯仪器首次公开发行股票并在科创板上市招股说明书.pdf,8.47,397,data/scratch_results/联讯仪器_688808_2026-04-20_联讯仪器首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:54:20,2026
福恩股份,001312,深市主板,首次公开发行股票并在主板上市招股说明书,2026-04-16 00:00:00,福恩股份_001312_2026-04-16_首次公开发行股票并在主板上市招股说明书.pdf,5.99,354,data/scratch_results/福恩股份_001312_2026-04-16_首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:54:20,2026
盛合晶微,688820,沪市主板,盛合晶微首次公开发行股票并在科创板上市招股说明书,2026-04-15 00:00:00,盛合晶微_688820_2026-04-15_盛合晶微首次公开发行股票并在科创板上市招股说明书.pdf,7.39,480,data/scratch_results/盛合晶微_688820_2026-04-15_盛合晶微首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:54:21,2026
尚水智能,301513,创业板,首次公开发行股票并在创业板上市招股说明书,2026-04-14 00:00:00,尚水智能_301513_2026-04-14_首次公开发行股票并在创业板上市招股说明书.pdf,8.32,436,data/scratch_results/尚水智能_301513_2026-04-14_首次公开发行股票并在创业板上市招股说明书.pdf,2026-05-27 22:54:22,2026
