公司名称,股票代码,板块,文件名,页码数,时间,文件大小(MB),文件路径,年份
盟固利,301487,创业板,301487_盟固利_2023-08-03.pdf,423,2023-08-03,15.65,/Users/chenyuang/Desktop/巨潮网资料/2023/301487_盟固利_2023-08-03.pdf,2023
通达创智,001368,深主板,001368_通达创智_2023-02-28.pdf,121,2023-02-28,3.23,/Users/chenyuang/Desktop/巨潮网资料/2023/001368_通达创智_2023-02-28.pdf,2023
维科精密,301499,创业板,301499_维科精密_2023-07-17.pdf,505,2023-07-17,7.93,/Users/chenyuang/Desktop/巨潮网资料/2023/301499_维科精密_2023-07-17.pdf,2023
华勤技术,603296,沪主板,603296_华勤技术_2023-08-03.pdf,840,2023-08-03,11.3,/Users/chenyuang/Desktop/巨潮网资料/2023/603296_华勤技术_2023-08-03.pdf,2023
波长光电,301421,创业板,301421_波长光电_2023-08-18.pdf,468,2023-08-18,6.62,/Users/chenyuang/Desktop/巨潮网资料/2023/301421_波长光电_2023-08-18.pdf,2023
登康口腔,001328,深主板,001328_登康口腔_2023-03-31.pdf,504,2023-03-31,11.63,/Users/chenyuang/Desktop/巨潮网资料/2023/001328_登康口腔_2023-03-31.pdf,2023
北方长龙,301357,创业板,301357_北方长龙_2023-04-13.pdf,490,2023-04-13,9.79,/Users/chenyuang/Desktop/巨潮网资料/2023/301357_北方长龙_2023-04-13.pdf,2023
信音电子,301329,创业板,301329_信音电子_2023-07-07.pdf,395,2023-07-07,5.62,/Users/chenyuang/Desktop/巨潮网资料/2023/301329_信音电子_2023-07-07.pdf,2023
海通发展,603162,沪主板,603162_海通发展_2023-02-23.pdf,492,2023-02-23,6.16,/Users/chenyuang/Desktop/巨潮网资料/2023/603162_海通发展_2023-02-23.pdf,2023
智翔金泰,688443,科创板,688443_智翔金泰_2023-06-15.pdf,429,2023-06-15,5.59,/Users/chenyuang/Desktop/巨潮网资料/2023/688443_智翔金泰_2023-06-15.pdf,2023
航天软件,688562,科创板,688562_航天软件_2023-05-17.pdf,417,2023-05-17,12.93,/Users/chenyuang/Desktop/巨潮网资料/2023/688562_航天软件_2023-05-17.pdf,2023
索宝蛋白,603231,沪主板,603231_索宝蛋白_2023-12-08.pdf,372,2023-12-08,7.59,/Users/chenyuang/Desktop/巨潮网资料/2023/603231_索宝蛋白_2023-12-08.pdf,2023
通达海,301378,创业板,301378_通达海_2023-03-01.pdf,383,2023-03-01,5.23,/Users/chenyuang/Desktop/巨潮网资料/2023/301378_通达海_2023-03-01.pdf,2023
开创电气,301448,创业板,301448_开创电气_2023-06-06.pdf,520,2023-06-06,5.66,/Users/chenyuang/Desktop/巨潮网资料/2023/301448_开创电气_2023-06-06.pdf,2023
翔腾新材,001373,深主板,001373_翔腾新材_2023-05-18.pdf,420,2023-05-18,4.94,/Users/chenyuang/Desktop/巨潮网资料/2023/001373_翔腾新材_2023-05-18.pdf,2023
双元科技,688623,科创板,688623_双元科技_2023-06-02.pdf,413,2023-06-02,8.51,/Users/chenyuang/Desktop/巨潮网资料/2023/688623_双元科技_2023-06-02.pdf,2023
斯菱股份,301550,创业板,301550_斯菱股份_2023-09-08.pdf,409,2023-09-08,6.45,/Users/chenyuang/Desktop/巨潮网资料/2023/301550_斯菱股份_2023-09-08.pdf,2023
中信金属,601061,沪主板,601061_中信金属_2023-04-03.pdf,501,2023-04-03,10.26,/Users/chenyuang/Desktop/巨潮网资料/2023/601061_中信金属_2023-04-03.pdf,2023
颀中科技,688352,科创板,688352_颀中科技_2023-04-13.pdf,448,2023-04-13,9.95,/Users/chenyuang/Desktop/巨潮网资料/2023/688352_颀中科技_2023-04-13.pdf,2023
科净源,301372,创业板,301372_科净源_2023-08-07.pdf,341,2023-08-07,12.99,/Users/chenyuang/Desktop/巨潮网资料/2023/301372_科净源_2023-08-07.pdf,2023
国际复材,301526,创业板,301526_国际复材_2023-12-21.pdf,561,2023-12-21,6.94,/Users/chenyuang/Desktop/巨潮网资料/2023/301526_国际复材_2023-12-21.pdf,2023
亿道信息,001314,深主板,001314_亿道信息_2023-01-30.pdf,165,2023-01-30,4.23,/Users/chenyuang/Desktop/巨潮网资料/2023/001314_亿道信息_2023-01-30.pdf,2023
鑫磊股份,301317,创业板,301317_鑫磊股份_2023-01-16.pdf,394,2023-01-16,5.34,/Users/chenyuang/Desktop/巨潮网资料/2023/301317_鑫磊股份_2023-01-16.pdf,2023
康力源,301287,创业板,301287_康力源_2023-06-01.pdf,489,2023-06-01,6.46,/Users/chenyuang/Desktop/巨潮网资料/2023/301287_康力源_2023-06-01.pdf,2023
康鹏科技,688602,科创板,688602_康鹏科技_2023-07-17.pdf,495,2023-07-17,6.36,/Users/chenyuang/Desktop/巨潮网资料/2023/688602_康鹏科技_2023-07-17.pdf,2023
